epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,7960.44,0.33396,0.3599,0.82863,0.83011,0.90099,0.8414,0.78974,0.31644,0.54035,0.89437,0.002872,0.002872,0.002872
74,8069.92,0.3327,0.35786,0.82779,0.83106,0.90068,0.84169,0.78975,0.31556,0.53831,0.89496,0.002773,0.002773,0.002773
75,8178.38,0.33143,0.35429,0.82693,0.83152,0.89993,0.84187,0.79033,0.31544,0.53919,0.89398,0.002674,0.002674,0.002674
76,8287.34,0.32874,0.35229,0.82731,0.83126,0.90027,0.84125,0.78984,0.3148,0.53881,0.89325,0.002575,0.002575,0.002575
77,8397.34,0.32711,0.35032,0.82561,0.83111,0.90096,0.84152,0.79004,0.31445,0.53881,0.89355,0.002476,0.002476,0.002476
78,8506.16,0.32616,0.35025,0.8249,0.83137,0.90059,0.84135,0.79013,0.31366,0.53875,0.89315,0.002377,0.002377,0.002377
79,8615.18,0.3252,0.34798,0.8256,0.83107,0.90082,0.84187,0.79035,0.31337,0.53925,0.89352,0.002278,0.002278,0.002278
80,8725.02,0.3222,0.34418,0.8241,0.8296,0.90283,0.84234,0.79089,0.31314,0.53929,0.89387,0.002179,0.002179,0.002179
81,8833.35,0.32137,0.34521,0.8226,0.83024,0.90151,0.84246,0.79113,0.31261,0.53929,0.89389,0.00208,0.00208,0.00208
82,8941.68,0.31947,0.34153,0.82383,0.83208,0.89952,0.84272,0.79155,0.31177,0.53847,0.89357,0.001981,0.001981,0.001981
83,9049.74,0.31951,0.34129,0.824,0.83103,0.90119,0.84248,0.79157,0.31132,0.53837,0.89381,0.001882,0.001882,0.001882
84,9157.44,0.31866,0.33907,0.82299,0.83178,0.90089,0.84264,0.79155,0.31111,0.53842,0.89443,0.001783,0.001783,0.001783
85,9265.18,0.31528,0.33574,0.82192,0.83194,0.90055,0.84269,0.79154,0.31074,0.5391,0.89475,0.001684,0.001684,0.001684
86,9372.93,0.31611,0.33552,0.82079,0.83187,0.90121,0.84256,0.79161,0.31005,0.538,0.89439,0.001585,0.001585,0.001585
87,9480.71,0.314,0.33371,0.8214,0.83215,0.90115,0.84266,0.79152,0.30968,0.53743,0.8951,0.001486,0.001486,0.001486
88,9588.47,0.31363,0.3322,0.82072,0.83226,0.90091,0.84278,0.79188,0.30934,0.53779,0.89558,0.001387,0.001387,0.001387
89,9696.16,0.31093,0.33,0.81948,0.83237,0.89992,0.84278,0.7919,0.30917,0.53814,0.89556,0.001288,0.001288,0.001288
90,9803.83,0.30902,0.32786,0.82043,0.83233,0.89997,0.84239,0.79164,0.30887,0.53808,0.89578,0.001189,0.001189,0.001189
91,9910.56,0.2619,0.24414,0.79741,0.83247,0.89999,0.84271,0.79189,0.3085,0.53633,0.89565,0.00109,0.00109,0.00109
92,10016.4,0.25734,0.23997,0.79703,0.83333,0.89985,0.8428,0.79176,0.30814,0.53523,0.89606,0.000991,0.000991,0.000991
93,10122.2,0.25511,0.23709,0.79581,0.83355,0.89918,0.84294,0.79208,0.30779,0.53481,0.8967,0.000892,0.000892,0.000892
94,10227.9,0.25235,0.23513,0.79315,0.83269,0.89961,0.84256,0.79153,0.30746,0.53422,0.89667,0.000793,0.000793,0.000793
95,10333.6,0.25074,0.23229,0.79366,0.83263,0.89913,0.8427,0.79187,0.30722,0.53418,0.89701,0.000694,0.000694,0.000694
96,10439.4,0.24941,0.23162,0.79458,0.83109,0.90038,0.84255,0.79168,0.30705,0.53419,0.89739,0.000595,0.000595,0.000595
97,10545.2,0.24752,0.22714,0.7939,0.83073,0.90082,0.84265,0.79177,0.30695,0.53404,0.8977,0.000496,0.000496,0.000496
98,10651,0.24605,0.22705,0.79267,0.83083,0.90099,0.84292,0.79191,0.30662,0.53411,0.89802,0.000397,0.000397,0.000397
99,10756.7,0.24499,0.22358,0.79281,0.83062,0.90086,0.84273,0.7918,0.30651,0.53394,0.89844,0.000298,0.000298,0.000298
100,10862.5,0.24384,0.22344,0.79221,0.83194,0.89975,0.84278,0.79171,0.30624,0.53351,0.89878,0.000199,0.000199,0.000199
