epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
90,22484.1,0.3639,0.48633,0.79259,0.84756,0.87717,0.85791,0.81344,0.30513,0.45167,0.79895,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,22736.5,0.32047,0.41964,0.7827,0.84732,0.87729,0.8579,0.81346,0.30472,0.45154,0.79891,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,22979.4,0.31607,0.41254,0.78223,0.84684,0.87764,0.85791,0.81363,0.3043,0.45137,0.79889,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,23222.6,0.31281,0.40746,0.78163,0.84741,0.87699,0.85787,0.8137,0.3039,0.45123,0.79885,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,23465.8,0.31033,0.40058,0.78085,0.84788,0.87627,0.85798,0.81378,0.30349,0.45123,0.7988,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,23709,0.30929,0.39834,0.78069,0.84752,0.87677,0.85782,0.81379,0.30292,0.45103,0.79878,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,23952.5,0.30846,0.395,0.78008,0.84776,0.8766,0.8577,0.81382,0.30249,0.45108,0.79879,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,24195.8,0.30556,0.38942,0.78023,0.84789,0.87655,0.85762,0.81383,0.30215,0.45122,0.79881,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,24438.2,0.3044,0.38545,0.77974,0.84805,0.87681,0.85756,0.814,0.30179,0.45134,0.7988,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,24680.4,0.30342,0.38242,0.78019,0.84807,0.87701,0.85735,0.81388,0.30141,0.45145,0.79881,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,24922.9,0.30208,0.37973,0.77933,0.84841,0.87656,0.85729,0.81377,0.3011,0.45152,0.79884,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
